epoch,train_loss,val_loss,lr
1,0.160815,0.143122,1.00e-04
2,0.134097,0.136456,9.94e-05
3,0.159254,0.122859,9.76e-05
4,0.144194,0.150066,9.46e-05
5,0.158697,0.134039,9.05e-05
6,0.142937,0.144890,8.54e-05
7,0.149602,0.144221,7.94e-05
8,0.154609,0.150550,7.27e-05
9,0.148629,0.142099,6.55e-05
10,0.130481,0.144116,5.78e-05
11,0.151193,0.135063,5.00e-05
12,0.131004,0.140631,4.22e-05
13,0.139233,0.127226,3.45e-05
14,0.154088,0.135029,2.73e-05
15,0.129889,0.153794,2.06e-05
16,0.148179,0.151954,1.46e-05
17,0.133138,0.166893,9.55e-06
18,0.150735,0.166034,5.45e-06
19,0.145627,0.129981,2.45e-06
20,0.143673,0.139662,6.16e-07
